epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.91,1.07569,1.42445,1.40101,0.55834,0.61339,0.62054,0.4074,1.17579,1.48395,1.47102,0.0667826,3.32506e-05,3.32506e-05
2,466.387,0.99079,1.01402,1.32187,0.80208,0.77675,0.85046,0.60642,1.04201,0.80135,1.34939,0.033482,6.59248e-05,6.59248e-05
3,693.676,0.95067,0.88762,1.29677,0.84214,0.80291,0.88304,0.63488,1.00746,0.7331,1.3139,0.000180652,9.79389e-05,9.79389e-05
4,920.931,0.92875,0.82201,1.27872,0.83492,0.82656,0.88339,0.62653,1.03315,0.73147,1.34554,9.703e-05,9.703e-05,9.703e-05
5,1147.94,0.90536,0.77869,1.26921,0.8385,0.8506,0.89864,0.66174,0.98114,0.66883,1.29346,9.604e-05,9.604e-05,9.604e-05
6,1374.92,0.88679,0.72412,1.25141,0.8918,0.86384,0.92897,0.69687,0.93361,0.57795,1.27229,9.505e-05,9.505e-05,9.505e-05
7,1601.88,0.87469,0.70566,1.24684,0.90735,0.88164,0.9358,0.71036,0.91827,0.55141,1.25149,9.406e-05,9.406e-05,9.406e-05
8,1828.62,0.8619,0.67192,1.2333,0.90789,0.89467,0.94052,0.72047,0.90498,0.52288,1.22986,9.307e-05,9.307e-05,9.307e-05
9,2055.51,0.85464,0.65879,1.224,0.92154,0.8879,0.94095,0.7173,0.92102,0.5339,1.23748,9.208e-05,9.208e-05,9.208e-05
10,2282.26,0.83389,0.62867,1.21021,0.92314,0.89755,0.94798,0.72929,0.90461,0.52257,1.24017,9.109e-05,9.109e-05,9.109e-05
11,2509.09,0.81365,0.61146,1.20265,0.9204,0.90078,0.94579,0.73402,0.895,0.5234,1.23663,9.01e-05,9.01e-05,9.01e-05
12,2735.91,0.80561,0.59431,1.19969,0.92401,0.90861,0.95205,0.73654,0.87788,0.49143,1.22432,8.911e-05,8.911e-05,8.911e-05
13,2962.65,0.79819,0.57863,1.189,0.93795,0.92168,0.96016,0.75553,0.85513,0.4653,1.19251,8.812e-05,8.812e-05,8.812e-05
14,3189.48,0.78582,0.57699,1.17766,0.94371,0.89389,0.95381,0.74969,0.85642,0.4822,1.19171,8.713e-05,8.713e-05,8.713e-05
15,3416.4,0.77724,0.55406,1.17266,0.94001,0.90883,0.95882,0.74732,0.85207,0.47401,1.1966,8.614e-05,8.614e-05,8.614e-05
16,3643.23,0.76496,0.54682,1.17023,0.93895,0.92466,0.96033,0.76809,0.81903,0.44029,1.16127,8.515e-05,8.515e-05,8.515e-05
