epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2608,1.12499,2.42278,1.4743,0.80431,0.06214,0.25051,0.12855,1.41552,3.08776,1.79555,0.0670027,3.30303e-05,3.30303e-05
2,76.1986,1.10627,1.68202,1.45944,0.66322,0.56673,0.62426,0.40081,1.19283,1.52593,1.56719,0.0337021,6.57066e-05,6.57066e-05
3,112.533,1.05502,1.43563,1.40178,0.63937,0.6437,0.66076,0.42196,1.20543,1.4535,1.51047,0.000400753,9.7723e-05,9.7723e-05
4,148.83,1.06068,1.32678,1.39444,0.70625,0.68598,0.70275,0.48925,1.13878,1.21551,1.46293,9.703e-05,9.703e-05,9.703e-05
5,185.115,1.02122,1.25723,1.35579,0.71114,0.72073,0.74963,0.51957,1.14343,1.14363,1.45635,9.604e-05,9.604e-05,9.604e-05
6,221.364,1.00181,1.16216,1.34331,0.76995,0.69729,0.75492,0.52149,1.12406,1.14902,1.47058,9.505e-05,9.505e-05,9.505e-05
7,257.659,0.99557,1.1289,1.33457,0.78195,0.65895,0.75502,0.52552,1.13743,1.11449,1.45315,9.406e-05,9.406e-05,9.406e-05
8,293.877,0.98578,1.08679,1.33111,0.79544,0.69876,0.76973,0.54659,1.10131,1.07124,1.42486,9.307e-05,9.307e-05,9.307e-05
9,329.998,0.97899,1.0627,1.32039,0.78663,0.71107,0.77671,0.55325,1.08865,1.0492,1.40695,9.208e-05,9.208e-05,9.208e-05
10,366.125,0.96623,1.0225,1.31095,0.7816,0.6643,0.75137,0.51752,1.14204,1.08602,1.46411,9.109e-05,9.109e-05,9.109e-05
11,402.254,0.95292,0.99956,1.30453,0.7914,0.70382,0.77154,0.54077,1.1222,1.08983,1.44117,9.01e-05,9.01e-05,9.01e-05
12,438.343,0.97532,1.006,1.31305,0.82638,0.65438,0.74924,0.53299,1.12559,1.06909,1.47015,8.911e-05,8.911e-05,8.911e-05
13,474.467,0.93883,0.98015,1.28395,0.80537,0.7042,0.77464,0.55048,1.10547,1.01377,1.44269,8.812e-05,8.812e-05,8.812e-05
14,510.549,0.93848,0.93999,1.28862,0.79137,0.7218,0.77418,0.54807,1.12537,1.01669,1.43039,8.713e-05,8.713e-05,8.713e-05
15,546.655,0.93635,0.92568,1.28057,0.7888,0.69506,0.76863,0.55,1.1161,1.02865,1.43535,8.614e-05,8.614e-05,8.614e-05
16,582.789,0.94862,0.90219,1.28893,0.7496,0.72972,0.76896,0.55708,1.10513,1.04057,1.43411,8.515e-05,8.515e-05,8.515e-05
17,618.944,0.92496,0.89003,1.27797,0.76586,0.72053,0.77615,0.55919,1.10202,1.00798,1.40809,8.416e-05,8.416e-05,8.416e-05
