epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.765,1.11069,1.97584,1.43624,0.49072,0.50855,0.50474,0.30179,1.33277,1.97401,1.66996,0.0667826,3.32506e-05,3.32506e-05
2,273.156,1.0451,1.40713,1.37419,0.71383,0.68895,0.73946,0.50433,1.0984,1.20843,1.43145,0.033482,6.59248e-05,6.59248e-05
3,405.777,1.00163,1.21285,1.33298,0.76947,0.74094,0.79858,0.55282,1.0543,0.97971,1.37485,0.000180652,9.79389e-05,9.79389e-05
4,538.519,0.96331,1.08011,1.30491,0.8001,0.78218,0.84485,0.591,1.0358,0.89082,1.31447,9.703e-05,9.703e-05,9.703e-05
5,671.011,0.95292,1.02221,1.29728,0.83621,0.79604,0.86707,0.62042,1.01165,0.82408,1.29789,9.604e-05,9.604e-05,9.604e-05
6,803.462,0.92875,0.9625,1.27847,0.8161,0.78962,0.86168,0.61583,1.00454,0.81317,1.30799,9.505e-05,9.505e-05,9.505e-05
7,934.978,0.91342,0.92012,1.26767,0.84348,0.82083,0.8778,0.63782,0.99312,0.77433,1.28886,9.406e-05,9.406e-05,9.406e-05
8,1067.1,0.89821,0.88355,1.25365,0.85118,0.82768,0.89211,0.64555,0.98547,0.7425,1.2657,9.307e-05,9.307e-05,9.307e-05
9,1199.56,0.89558,0.86237,1.252,0.85113,0.83622,0.89749,0.65691,0.97243,0.72315,1.25256,9.208e-05,9.208e-05,9.208e-05
10,1331.61,0.88099,0.83043,1.23819,0.8736,0.84519,0.90522,0.67558,0.93156,0.69226,1.23744,9.109e-05,9.109e-05,9.109e-05
11,1463.93,0.87194,0.80617,1.22979,0.88241,0.83797,0.90396,0.67253,0.9397,0.68465,1.2419,9.01e-05,9.01e-05,9.01e-05
12,1596.42,0.86537,0.80224,1.22846,0.85394,0.84609,0.89803,0.66631,0.95129,0.70419,1.22868,8.911e-05,8.911e-05,8.911e-05
13,1728.62,0.85296,0.77035,1.21959,0.869,0.8521,0.90253,0.67462,0.92915,0.66778,1.23744,8.812e-05,8.812e-05,8.812e-05
14,1860.65,0.85356,0.76573,1.21453,0.88882,0.86906,0.92327,0.69327,0.92777,0.63123,1.21722,8.713e-05,8.713e-05,8.713e-05
15,1992.63,0.84086,0.73638,1.21001,0.89138,0.86658,0.92076,0.69565,0.91778,0.62935,1.21056,8.614e-05,8.614e-05,8.614e-05
16,2124.82,0.83599,0.72585,1.20952,0.90694,0.87873,0.93089,0.70626,0.90325,0.59953,1.20107,8.515e-05,8.515e-05,8.515e-05
17,2257.22,0.83067,0.709,1.20027,0.90023,0.88178,0.93365,0.70746,0.91355,0.58543,1.20401,8.416e-05,8.416e-05,8.416e-05
18,2389.46,0.82407,0.70774,1.19871,0.9057,0.8785,0.93224,0.71208,0.87777,0.59518,1.18267,8.317e-05,8.317e-05,8.317e-05
19,2520.91,0.81723,0.68373,1.18662,0.89992,0.8832,0.93276,0.71392,0.87242,0.57745,1.16697,8.218e-05,8.218e-05,8.218e-05
20,2652.73,0.81013,0.68002,1.18349,0.90527,0.88016,0.93427,0.71125,0.88108,0.5694,1.19273,8.119e-05,8.119e-05,8.119e-05
21,2784.83,0.80739,0.67588,1.18372,0.898,0.90142,0.94125,0.73111,0.85559,0.54008,1.15531,8.02e-05,8.02e-05,8.02e-05
22,2917.06,0.80197,0.66086,1.17823,0.90921,0.89462,0.93846,0.72674,0.859,0.54984,1.15894,7.921e-05,7.921e-05,7.921e-05
23,3049.44,0.79678,0.64976,1.17378,0.91336,0.89335,0.94225,0.72814,0.86032,0.5397,1.15874,7.822e-05,7.822e-05,7.822e-05
24,3181.53,0.79272,0.6515,1.1706,0.91978,0.89765,0.94272,0.73342,0.8446,0.52402,1.14589,7.723e-05,7.723e-05,7.723e-05
25,3313.94,0.78804,0.64045,1.16699,0.91515,0.90764,0.94861,0.74124,0.84721,0.51241,1.14681,7.624e-05,7.624e-05,7.624e-05
26,3446.19,0.77861,0.63506,1.16174,0.91791,0.90508,0.94683,0.74011,0.85233,0.50868,1.14684,7.525e-05,7.525e-05,7.525e-05
27,3578.61,0.77863,0.61968,1.15936,0.91796,0.90395,0.94792,0.74362,0.84108,0.51637,1.14583,7.426e-05,7.426e-05,7.426e-05
28,3710.7,0.7674,0.60693,1.15259,0.92127,0.91,0.94821,0.74593,0.8357,0.50461,1.13391,7.327e-05,7.327e-05,7.327e-05
29,3842.25,0.76941,0.60651,1.15246,0.92819,0.90873,0.95093,0.75108,0.82958,0.49787,1.13347,7.228e-05,7.228e-05,7.228e-05
30,3973.21,0.76235,0.60119,1.14985,0.93334,0.90811,0.95126,0.75122,0.81814,0.48951,1.12024,7.129e-05,7.129e-05,7.129e-05
31,4105.22,0.76116,0.59459,1.14618,0.93218,0.90638,0.95319,0.75903,0.81399,0.48866,1.12581,7.03e-05,7.03e-05,7.03e-05
32,4236.99,0.76143,0.59499,1.14717,0.93143,0.91293,0.95543,0.76238,0.81193,0.48017,1.11942,6.931e-05,6.931e-05,6.931e-05
33,4368.26,0.75735,0.59685,1.1484,0.93557,0.9106,0.95333,0.762,0.80234,0.47572,1.11067,6.832e-05,6.832e-05,6.832e-05
34,4499.35,0.75523,0.58048,1.14227,0.92151,0.9189,0.95224,0.7618,0.8051,0.48736,1.11508,6.733e-05,6.733e-05,6.733e-05
35,4631.06,0.75057,0.58573,1.14042,0.91987,0.92574,0.95588,0.76527,0.80482,0.47283,1.11253,6.634e-05,6.634e-05,6.634e-05
36,4762.42,0.74245,0.56761,1.1371,0.94235,0.90764,0.95548,0.76382,0.79866,0.46951,1.11138,6.535e-05,6.535e-05,6.535e-05
37,4893.53,0.74588,0.57492,1.14112,0.93316,0.91469,0.95438,0.76766,0.78721,0.46857,1.10322,6.436e-05,6.436e-05,6.436e-05
38,5024.33,0.73896,0.56382,1.13258,0.93506,0.91655,0.95544,0.76958,0.78493,0.46381,1.09926,6.337e-05,6.337e-05,6.337e-05
39,5156.27,0.73525,0.55659,1.12811,0.93742,0.92001,0.95626,0.77189,0.78663,0.46086,1.09921,6.238e-05,6.238e-05,6.238e-05
40,5288.11,0.73229,0.55331,1.12681,0.93884,0.91721,0.95771,0.77511,0.77625,0.44976,1.08675,6.139e-05,6.139e-05,6.139e-05
41,5419.82,0.72639,0.5482,1.12348,0.93268,0.92183,0.95788,0.77442,0.77733,0.45651,1.09232,6.04e-05,6.04e-05,6.04e-05
42,5551.29,0.71817,0.53558,1.12002,0.94016,0.92008,0.95609,0.77448,0.77015,0.44327,1.08428,5.941e-05,5.941e-05,5.941e-05
43,5683.35,0.72111,0.53472,1.1178,0.94427,0.91773,0.95735,0.77783,0.76918,0.44133,1.08506,5.842e-05,5.842e-05,5.842e-05
44,5815.48,0.71727,0.53648,1.12095,0.93901,0.92179,0.95908,0.77933,0.76904,0.44705,1.08689,5.743e-05,5.743e-05,5.743e-05
45,5947.54,0.71638,0.54653,1.11962,0.93429,0.92536,0.9576,0.78068,0.7634,0.4463,1.08195,5.644e-05,5.644e-05,5.644e-05
46,6079.48,0.71133,0.52949,1.11683,0.9419,0.92671,0.95948,0.7801,0.76408,0.44225,1.08275,5.545e-05,5.545e-05,5.545e-05
47,6211.56,0.7062,0.53476,1.11246,0.93758,0.92839,0.95857,0.78158,0.76224,0.44144,1.07992,5.446e-05,5.446e-05,5.446e-05
48,6343.57,0.70842,0.52548,1.11307,0.93509,0.92759,0.95901,0.78317,0.75813,0.43592,1.07771,5.347e-05,5.347e-05,5.347e-05
49,6475.04,0.69791,0.51328,1.10733,0.94198,0.92611,0.95995,0.78328,0.75696,0.43512,1.07509,5.248e-05,5.248e-05,5.248e-05
50,6605.55,0.70709,0.52129,1.11069,0.93583,0.92809,0.9587,0.78484,0.75475,0.4377,1.07483,5.149e-05,5.149e-05,5.149e-05
51,6736.51,0.69643,0.51324,1.10618,0.94847,0.92507,0.96226,0.78722,0.7519,0.43136,1.07284,5.05e-05,5.05e-05,5.05e-05
52,6868.08,0.69904,0.5192,1.10928,0.94651,0.92507,0.96192,0.78771,0.75039,0.42978,1.07186,4.951e-05,4.951e-05,4.951e-05
53,6999.43,0.69135,0.51228,1.10475,0.94955,0.92169,0.96251,0.78692,0.74963,0.43373,1.07134,4.852e-05,4.852e-05,4.852e-05
54,7130.39,0.69218,0.50655,1.10672,0.94662,0.92735,0.96226,0.78809,0.74524,0.42833,1.06777,4.753e-05,4.753e-05,4.753e-05
55,7262.24,0.69747,0.51591,1.10926,0.94432,0.92904,0.96198,0.7881,0.74268,0.4262,1.06564,4.654e-05,4.654e-05,4.654e-05
