epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.538,1.07274,1.31667,1.43179,0.67858,0.66984,0.73562,0.4968,1.14705,1.18617,1.5388,0.0667414,3.32919e-05,3.32919e-05
2,966.045,1.01319,1.03136,1.38503,0.77906,0.76283,0.82447,0.57113,1.09654,0.85146,1.48965,0.0334407,6.59657e-05,6.59657e-05
3,1438.71,0.97249,0.93041,1.34992,0.81901,0.78216,0.87357,0.62786,1.02209,0.78474,1.39613,0.000139387,9.79794e-05,9.79794e-05
4,1909.75,0.95047,0.86568,1.33631,0.83919,0.81537,0.88153,0.6294,1.0272,0.70858,1.41106,9.703e-05,9.703e-05,9.703e-05
5,2468.82,0.92525,0.81505,1.32142,0.85276,0.84371,0.9016,0.66731,0.96795,0.64052,1.35261,9.604e-05,9.604e-05,9.604e-05
6,3197,0.90792,0.76087,1.30123,0.88551,0.86195,0.91676,0.68557,0.95527,0.59548,1.33998,9.505e-05,9.505e-05,9.505e-05
7,3798.48,0.89114,0.73579,1.29725,0.87563,0.84924,0.91545,0.685,0.94156,0.64111,1.32228,9.406e-05,9.406e-05,9.406e-05
8,4269.91,0.87265,0.69971,1.27676,0.90023,0.87997,0.93456,0.71391,0.90537,0.54955,1.29089,9.307e-05,9.307e-05,9.307e-05
9,4990.61,0.86159,0.67879,1.26935,0.92413,0.89251,0.94733,0.72717,0.89843,0.5147,1.28851,9.208e-05,9.208e-05,9.208e-05
10,5713.1,0.8405,0.64698,1.25391,0.91991,0.88251,0.94401,0.72475,0.90403,0.53279,1.29025,9.109e-05,9.109e-05,9.109e-05
11,6185.5,0.82527,0.62898,1.24124,0.92159,0.90013,0.94471,0.73065,0.88393,0.50535,1.25912,9.01e-05,9.01e-05,9.01e-05
12,6656.62,0.81508,0.60655,1.23303,0.92592,0.9041,0.95067,0.73888,0.8626,0.48384,1.25216,8.911e-05,8.911e-05,8.911e-05
13,7127.42,0.80844,0.59867,1.22947,0.9349,0.91503,0.95741,0.75423,0.84842,0.4573,1.23093,8.812e-05,8.812e-05,8.812e-05
14,7598.09,0.79301,0.581,1.21598,0.9474,0.91718,0.96392,0.76192,0.82941,0.44896,1.22805,8.713e-05,8.713e-05,8.713e-05
15,8068.85,0.78509,0.5702,1.21061,0.93862,0.92752,0.96009,0.76195,0.8306,0.44316,1.23411,8.614e-05,8.614e-05,8.614e-05
