epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,18854.5,0.5909,0.38747,1.08096,0.97239,0.94735,0.97247,0.84197,0.6462,0.3281,1.07209,6.139e-05,6.139e-05,6.139e-05
41,19324.9,0.58391,0.38434,1.07659,0.97114,0.94665,0.97185,0.84344,0.64232,0.32547,1.07156,6.04e-05,6.04e-05,6.04e-05
42,19795.3,0.57921,0.38117,1.07517,0.96981,0.95232,0.97358,0.84659,0.63655,0.317,1.07108,5.941e-05,5.941e-05,5.941e-05
43,20266.2,0.57578,0.37706,1.07236,0.97023,0.95567,0.97407,0.8495,0.63269,0.31677,1.07018,5.842e-05,5.842e-05,5.842e-05
44,20736.6,0.56835,0.37385,1.06776,0.97152,0.95043,0.97276,0.84834,0.62934,0.31868,1.05578,5.743e-05,5.743e-05,5.743e-05
45,21207.3,0.56577,0.37211,1.06446,0.96915,0.95544,0.97276,0.8491,0.62658,0.31776,1.05687,5.644e-05,5.644e-05,5.644e-05
46,21677.8,0.55915,0.36895,1.05904,0.97092,0.95711,0.97324,0.84825,0.63052,0.31548,1.05476,5.545e-05,5.545e-05,5.545e-05
47,22148.6,0.55498,0.36338,1.05752,0.97514,0.95106,0.97381,0.85037,0.62667,0.31161,1.0548,5.446e-05,5.446e-05,5.446e-05
48,22619.6,0.55339,0.36326,1.05596,0.97315,0.95261,0.97332,0.85109,0.61941,0.3107,1.04727,5.347e-05,5.347e-05,5.347e-05
49,23090.5,0.5448,0.35465,1.05063,0.9668,0.95869,0.9749,0.85425,0.61792,0.30806,1.04413,5.248e-05,5.248e-05,5.248e-05
50,23561.3,0.54476,0.35694,1.04837,0.97259,0.95892,0.97523,0.85495,0.61609,0.30412,1.04404,5.149e-05,5.149e-05,5.149e-05
51,24032.3,0.53807,0.35094,1.04719,0.97541,0.95566,0.9744,0.85647,0.61371,0.30324,1.0409,5.05e-05,5.05e-05,5.05e-05
