epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.844,1.10681,1.96647,1.43403,0.5137,0.46644,0.45865,0.26199,1.40662,2.00299,1.76329,0.0667826,3.32506e-05,3.32506e-05
2,285.843,1.04509,1.4065,1.36536,0.70881,0.71331,0.75392,0.5156,1.09292,1.16188,1.40292,0.033482,6.59248e-05,6.59248e-05
3,419.487,0.99856,1.20174,1.3276,0.77094,0.74937,0.79868,0.5658,1.0382,0.97966,1.35135,0.000180652,9.79389e-05,9.79389e-05
4,552.704,0.96964,1.0996,1.306,0.80714,0.77973,0.84406,0.59037,1.04608,0.8991,1.324,9.703e-05,9.703e-05,9.703e-05
5,685.716,0.94937,1.03118,1.29763,0.80324,0.79505,0.85233,0.60805,1.02033,0.85994,1.29962,9.604e-05,9.604e-05,9.604e-05
6,818.831,0.93111,0.96294,1.27406,0.84845,0.82376,0.88619,0.64248,0.98435,0.76455,1.26962,9.505e-05,9.505e-05,9.505e-05
7,951.521,0.9207,0.93163,1.26742,0.83675,0.8072,0.88283,0.64075,0.98282,0.7681,1.26474,9.406e-05,9.406e-05,9.406e-05
8,1084.41,0.90914,0.89437,1.25526,0.85082,0.83994,0.8988,0.65875,0.96065,0.71722,1.24042,9.307e-05,9.307e-05,9.307e-05
9,1217.3,0.89866,0.87576,1.24874,0.86238,0.83242,0.90508,0.67177,0.9473,0.69357,1.23093,9.208e-05,9.208e-05,9.208e-05
10,1350.12,0.88538,0.83713,1.23929,0.87816,0.84791,0.91447,0.67131,0.96127,0.66698,1.23865,9.109e-05,9.109e-05,9.109e-05
11,1482.76,0.86761,0.81231,1.22757,0.89574,0.84853,0.92021,0.68971,0.92763,0.64892,1.22804,9.01e-05,9.01e-05,9.01e-05
12,1615.41,0.8635,0.7913,1.22074,0.89348,0.84511,0.9186,0.68745,0.92318,0.64022,1.21605,8.911e-05,8.911e-05,8.911e-05
13,1748.03,0.85677,0.77499,1.21651,0.90327,0.85477,0.92401,0.69153,0.91435,0.61624,1.20608,8.812e-05,8.812e-05,8.812e-05
14,1880.79,0.85124,0.76581,1.20988,0.89266,0.86949,0.92835,0.7001,0.90592,0.60618,1.20209,8.713e-05,8.713e-05,8.713e-05
15,2013.52,0.84673,0.75034,1.20942,0.91066,0.86797,0.93233,0.70441,0.90562,0.59352,1.19957,8.614e-05,8.614e-05,8.614e-05
16,2146.22,0.83503,0.73797,1.20351,0.8964,0.88288,0.93723,0.70797,0.91349,0.58164,1.19998,8.515e-05,8.515e-05,8.515e-05
17,2279.16,0.83581,0.72187,1.20475,0.90519,0.89264,0.94028,0.71936,0.88263,0.55814,1.18258,8.416e-05,8.416e-05,8.416e-05
18,2411.99,0.83135,0.71482,1.19787,0.90012,0.88093,0.93437,0.71739,0.88962,0.56703,1.18361,8.317e-05,8.317e-05,8.317e-05
19,2544.79,0.81956,0.69784,1.18754,0.90104,0.89204,0.93641,0.71277,0.88231,0.56948,1.17706,8.218e-05,8.218e-05,8.218e-05
20,2677.3,0.812,0.69235,1.18565,0.91597,0.88553,0.94049,0.72293,0.87847,0.54165,1.1692,8.119e-05,8.119e-05,8.119e-05
21,2809.87,0.81204,0.69046,1.185,0.90895,0.89266,0.94243,0.72765,0.86959,0.54426,1.1632,8.02e-05,8.02e-05,8.02e-05
22,2942.55,0.80389,0.66989,1.17871,0.91785,0.90126,0.94704,0.73605,0.85395,0.51724,1.15349,7.921e-05,7.921e-05,7.921e-05
23,3074.98,0.80172,0.68019,1.17678,0.92761,0.89374,0.94862,0.73972,0.8389,0.51927,1.14537,7.822e-05,7.822e-05,7.822e-05
24,3207.37,0.79322,0.65418,1.17472,0.92143,0.90436,0.94937,0.74516,0.83645,0.5089,1.13951,7.723e-05,7.723e-05,7.723e-05
25,3339.98,0.79078,0.64807,1.17009,0.92978,0.89656,0.9525,0.74594,0.83387,0.50334,1.13473,7.624e-05,7.624e-05,7.624e-05
26,3472.66,0.78871,0.64873,1.17194,0.92683,0.91313,0.95496,0.75043,0.83552,0.48666,1.13818,7.525e-05,7.525e-05,7.525e-05
