epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9631,1.13961,2.45279,1.47709,0.00872,0.89173,0.28781,0.1494,1.4044,3.1283,1.80047,0.0670055,3.30275e-05,3.30275e-05
2,96.7127,1.09764,1.6903,1.43391,0.73764,0.6425,0.71949,0.49354,1.18713,1.48832,1.51125,0.0337048,6.57039e-05,6.57039e-05
3,133.379,1.0641,1.43678,1.39855,0.76657,0.69243,0.76436,0.53939,1.13273,1.22079,1.48981,0.000403531,9.77202e-05,9.77202e-05
4,169.987,1.03488,1.30662,1.37322,0.7918,0.74045,0.81015,0.58253,1.10075,1.01132,1.41704,9.703e-05,9.703e-05,9.703e-05
5,206.89,1.02506,1.23155,1.35558,0.79966,0.75148,0.80062,0.57629,1.10451,1.01009,1.43432,9.604e-05,9.604e-05,9.604e-05
6,245.221,1.00632,1.18048,1.34644,0.80199,0.71267,0.79826,0.58529,1.0818,0.99161,1.41095,9.505e-05,9.505e-05,9.505e-05
7,281.628,1.00686,1.15318,1.33491,0.83299,0.73402,0.82155,0.60453,1.07192,0.92575,1.39582,9.406e-05,9.406e-05,9.406e-05
8,317.838,0.98474,1.0996,1.31939,0.86041,0.73358,0.82902,0.60242,1.10457,0.97865,1.41279,9.307e-05,9.307e-05,9.307e-05
9,354.023,0.98022,1.06843,1.31481,0.8616,0.73358,0.83071,0.59847,1.0974,0.93868,1.39972,9.208e-05,9.208e-05,9.208e-05
10,390.182,0.9601,1.04089,1.31009,0.82062,0.76453,0.8373,0.60767,1.07358,0.8667,1.38572,9.109e-05,9.109e-05,9.109e-05
11,426.837,0.95593,1.02309,1.30817,0.78352,0.79907,0.83275,0.61198,1.08429,0.88623,1.38755,9.01e-05,9.01e-05,9.01e-05
12,463.829,0.94612,0.98767,1.29444,0.86158,0.78014,0.8476,0.62937,1.07331,0.9115,1.37148,8.911e-05,8.911e-05,8.911e-05
13,500.093,0.96164,0.99362,1.30013,0.85097,0.78056,0.85384,0.62817,1.07581,0.86304,1.38647,8.812e-05,8.812e-05,8.812e-05
14,540.988,0.95371,0.96382,1.29166,0.8505,0.80406,0.85456,0.62577,1.07383,0.84045,1.3902,8.713e-05,8.713e-05,8.713e-05
15,581.41,0.94665,0.92425,1.28565,0.82028,0.75045,0.82619,0.6072,1.0891,0.91735,1.40947,8.614e-05,8.614e-05,8.614e-05
16,617.423,0.9326,0.93583,1.28385,0.85981,0.73905,0.83871,0.62898,1.06391,0.91195,1.37718,8.515e-05,8.515e-05,8.515e-05
17,654.75,0.93448,0.90746,1.27909,0.82635,0.77228,0.83104,0.60777,1.09255,0.87359,1.41309,8.416e-05,8.416e-05,8.416e-05
