epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4163,1.12601,2.43586,1.48271,0.01387,0.90452,0.30896,0.15049,1.40212,2.99588,1.80245,0.0670027,3.30303e-05,3.30303e-05
2,76.368,1.12063,1.66985,1.4646,0.57646,0.59176,0.60755,0.4095,1.15189,1.72259,1.52927,0.0337021,6.57066e-05,6.57066e-05
3,112.739,1.07987,1.46253,1.40749,0.74591,0.72099,0.75458,0.52151,1.09532,1.16301,1.44734,0.000400753,9.7723e-05,9.7723e-05
4,149.107,1.04893,1.33228,1.39969,0.78197,0.69878,0.76077,0.51865,1.10212,1.14443,1.48114,9.703e-05,9.703e-05,9.703e-05
5,185.398,1.02227,1.23811,1.35726,0.80589,0.73137,0.79969,0.55698,1.08532,1.06332,1.4363,9.604e-05,9.604e-05,9.604e-05
6,221.613,1.00875,1.1744,1.34705,0.80307,0.73968,0.805,0.56379,1.08684,1.03342,1.44824,9.505e-05,9.505e-05,9.505e-05
7,257.944,0.98343,1.14315,1.33095,0.78697,0.76401,0.82628,0.57966,1.07926,0.96878,1.43449,9.406e-05,9.406e-05,9.406e-05
8,294.244,0.97719,1.12249,1.32933,0.78326,0.77214,0.81645,0.57388,1.0743,0.99338,1.40231,9.307e-05,9.307e-05,9.307e-05
9,330.643,0.98808,1.09213,1.32871,0.76423,0.77677,0.8107,0.58074,1.04081,0.96851,1.40298,9.208e-05,9.208e-05,9.208e-05
10,366.926,0.95767,1.04221,1.31259,0.82575,0.74299,0.81899,0.57402,1.08923,0.96067,1.43603,9.109e-05,9.109e-05,9.109e-05
11,403.224,0.96686,1.02745,1.30883,0.81261,0.76301,0.82866,0.59449,1.06605,0.93958,1.40699,9.01e-05,9.01e-05,9.01e-05
12,439.56,0.95113,1.00291,1.30172,0.79537,0.76626,0.81676,0.5842,1.05632,0.94494,1.41908,8.911e-05,8.911e-05,8.911e-05
13,475.808,0.96067,0.98242,1.30742,0.79828,0.78659,0.83378,0.59655,1.06439,0.9164,1.39693,8.812e-05,8.812e-05,8.812e-05
14,512.019,0.95905,0.98395,1.30441,0.84463,0.73876,0.83746,0.61,1.0494,0.9027,1.38523,8.713e-05,8.713e-05,8.713e-05
15,548.224,0.94334,0.96334,1.28806,0.82695,0.79624,0.83402,0.60027,1.06172,0.90453,1.3935,8.614e-05,8.614e-05,8.614e-05
16,584.391,0.92638,0.93197,1.28243,0.81434,0.80176,0.85204,0.6032,1.06917,0.8763,1.41405,8.515e-05,8.515e-05,8.515e-05
17,620.526,0.93094,0.91608,1.27593,0.83826,0.75081,0.83819,0.60094,1.05024,0.91061,1.40774,8.416e-05,8.416e-05,8.416e-05
18,656.703,0.92635,0.91857,1.27813,0.82192,0.77679,0.82917,0.5936,1.07351,0.89895,1.42444,8.317e-05,8.317e-05,8.317e-05
19,692.863,0.93249,0.88638,1.27219,0.83804,0.78145,0.83859,0.60075,1.07,0.87309,1.41926,8.218e-05,8.218e-05,8.218e-05
20,729.201,0.90336,0.8644,1.26085,0.8187,0.76944,0.84092,0.60437,1.05508,0.86664,1.39407,8.119e-05,8.119e-05,8.119e-05
21,765.479,0.91141,0.86014,1.2674,0.82546,0.75411,0.83264,0.59701,1.0646,0.89892,1.41329,8.02e-05,8.02e-05,8.02e-05
22,801.747,0.90002,0.87142,1.2556,0.84029,0.75208,0.83813,0.60702,1.0547,0.8642,1.39297,7.921e-05,7.921e-05,7.921e-05
23,837.96,0.90797,0.82473,1.25209,0.8051,0.73341,0.79742,0.59059,1.04676,0.97265,1.42089,7.822e-05,7.822e-05,7.822e-05
24,874.17,0.8949,0.82549,1.25214,0.85225,0.78218,0.84509,0.61119,1.05387,0.89095,1.4007,7.723e-05,7.723e-05,7.723e-05
25,910.525,0.88735,0.80365,1.24713,0.82885,0.77931,0.85342,0.61853,1.05186,0.83869,1.39686,7.624e-05,7.624e-05,7.624e-05
26,946.863,0.9005,0.82007,1.24559,0.81462,0.77889,0.8427,0.61508,1.07032,0.85841,1.4101,7.525e-05,7.525e-05,7.525e-05
27,983.153,0.89397,0.79843,1.25823,0.82082,0.7679,0.82904,0.59965,1.07177,0.88077,1.40486,7.426e-05,7.426e-05,7.426e-05
28,1019.37,0.89189,0.80063,1.24692,0.8124,0.78795,0.84073,0.61762,1.04701,0.87223,1.39098,7.327e-05,7.327e-05,7.327e-05
29,1055.57,0.87164,0.76324,1.23211,0.81042,0.80062,0.83382,0.60876,1.05134,0.88872,1.41001,7.228e-05,7.228e-05,7.228e-05
30,1091.8,0.87545,0.79554,1.24163,0.83002,0.77952,0.82984,0.60247,1.06233,0.85676,1.41312,7.129e-05,7.129e-05,7.129e-05
31,1128,0.86223,0.75803,1.2288,0.86452,0.75511,0.83477,0.61697,1.05845,0.87097,1.41067,7.03e-05,7.03e-05,7.03e-05
32,1164.26,0.86267,0.75704,1.23409,0.81736,0.77411,0.83001,0.61339,1.05427,0.88391,1.40894,6.931e-05,6.931e-05,6.931e-05
33,1200.54,0.8748,0.75919,1.24022,0.8144,0.79278,0.82916,0.61369,1.05487,0.83959,1.38875,6.832e-05,6.832e-05,6.832e-05
34,1243.72,0.85094,0.75472,1.21854,0.82798,0.78064,0.83186,0.60892,1.06264,0.8537,1.41379,6.733e-05,6.733e-05,6.733e-05
35,1288.67,0.85521,0.73113,1.21496,0.82795,0.77489,0.82885,0.60896,1.06472,0.87474,1.41105,6.634e-05,6.634e-05,6.634e-05
36,1324.9,0.85858,0.7395,1.22373,0.86414,0.73124,0.83281,0.6111,1.05416,0.86099,1.41484,6.535e-05,6.535e-05,6.535e-05
37,1361.09,0.83235,0.70752,1.20829,0.8136,0.77563,0.82268,0.60621,1.05159,0.82504,1.39496,6.436e-05,6.436e-05,6.436e-05
38,1397.1,0.84195,0.70544,1.21317,0.82675,0.79982,0.8471,0.61701,1.08219,0.84442,1.43833,6.337e-05,6.337e-05,6.337e-05
39,1433.18,0.84138,0.69461,1.20802,0.80833,0.80479,0.83196,0.60211,1.09668,0.86124,1.44926,6.238e-05,6.238e-05,6.238e-05
40,1469.35,0.84639,0.72082,1.21833,0.79041,0.79241,0.83007,0.60534,1.08354,0.86843,1.4484,6.139e-05,6.139e-05,6.139e-05
41,1505.48,0.8274,0.68808,1.20054,0.84883,0.77804,0.85108,0.62535,1.0735,0.83899,1.42578,6.04e-05,6.04e-05,6.04e-05
