epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.695,1.06113,1.39746,1.39077,0.69344,0.67671,0.7293,0.48611,1.18725,1.1265,1.50865,0.0667828,3.32504e-05,3.32504e-05
2,522.439,0.98673,0.99738,1.32282,0.79412,0.77162,0.83423,0.59331,1.0766,0.85219,1.37727,0.0334822,6.59246e-05,6.59246e-05
3,753.739,0.94714,0.86718,1.29767,0.84485,0.80517,0.87377,0.62056,1.05205,0.72625,1.3571,0.000180857,9.79387e-05,9.79387e-05
4,982.039,0.92095,0.80642,1.27717,0.84786,0.82309,0.88006,0.63267,1.03608,0.71153,1.34874,9.703e-05,9.703e-05,9.703e-05
5,1209.36,0.90716,0.76325,1.26645,0.85621,0.82292,0.8952,0.63971,1.03388,0.70313,1.32314,9.604e-05,9.604e-05,9.604e-05
6,1436.62,0.88183,0.71758,1.25048,0.89498,0.84431,0.90853,0.67124,0.99742,0.62851,1.29592,9.505e-05,9.505e-05,9.505e-05
7,1663.72,0.86157,0.68404,1.23364,0.88913,0.87237,0.91791,0.68332,0.95573,0.60015,1.28035,9.406e-05,9.406e-05,9.406e-05
8,1890.67,0.85402,0.66555,1.22956,0.91125,0.87778,0.92789,0.70026,0.95141,0.56348,1.26115,9.307e-05,9.307e-05,9.307e-05
9,2123.53,0.83346,0.63828,1.21504,0.92283,0.88119,0.92895,0.70684,0.93762,0.55615,1.24693,9.208e-05,9.208e-05,9.208e-05
10,2357.03,0.8222,0.61432,1.20049,0.92079,0.88189,0.93607,0.71969,0.92604,0.54811,1.22629,9.109e-05,9.109e-05,9.109e-05
11,2583.94,0.815,0.60275,1.20156,0.91854,0.87982,0.92885,0.71845,0.91506,0.55254,1.22902,9.01e-05,9.01e-05,9.01e-05
12,2811.1,0.80403,0.58747,1.18849,0.92594,0.89821,0.93858,0.7275,0.89242,0.51661,1.21443,8.911e-05,8.911e-05,8.911e-05
13,3038.16,0.78221,0.56879,1.18189,0.94222,0.89941,0.94276,0.74022,0.87109,0.50405,1.20646,8.812e-05,8.812e-05,8.812e-05
14,3264.82,0.7787,0.55799,1.17446,0.91845,0.89191,0.93808,0.74193,0.86205,0.51382,1.17763,8.713e-05,8.713e-05,8.713e-05
15,3491.43,0.77348,0.54384,1.16861,0.93702,0.90334,0.94619,0.74842,0.86522,0.49052,1.18359,8.614e-05,8.614e-05,8.614e-05
16,3718.12,0.76211,0.54106,1.16643,0.93508,0.90561,0.94333,0.74773,0.85273,0.49031,1.18228,8.515e-05,8.515e-05,8.515e-05
17,3944.74,0.74906,0.52104,1.15841,0.93645,0.90932,0.94882,0.75676,0.84179,0.47663,1.16211,8.416e-05,8.416e-05,8.416e-05
