epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.019,1.06849,1.32107,1.41025,0.71842,0.68373,0.73417,0.50641,1.13152,1.03956,1.54012,0.0667414,3.32919e-05,3.32919e-05
2,966.662,1.01369,1.04077,1.37524,0.75538,0.73018,0.79721,0.56109,1.07665,0.95679,1.46405,0.0334407,6.59657e-05,6.59657e-05
3,1440.21,0.97554,0.94021,1.3486,0.84887,0.79643,0.87925,0.63479,0.99934,0.74368,1.37101,0.000139387,9.79794e-05,9.79794e-05
4,1912.66,0.95015,0.86142,1.33611,0.87952,0.82528,0.88942,0.655,0.98987,0.67431,1.37934,9.703e-05,9.703e-05,9.703e-05
5,2386.21,0.92641,0.81534,1.32122,0.88216,0.83327,0.908,0.67872,0.95607,0.6219,1.36024,9.604e-05,9.604e-05,9.604e-05
6,2858.9,0.8975,0.75822,1.29598,0.89505,0.85485,0.91844,0.68904,0.94638,0.59894,1.33191,9.505e-05,9.505e-05,9.505e-05
7,3331.15,0.89098,0.73208,1.29448,0.90035,0.86836,0.92086,0.69562,0.93399,0.57735,1.33179,9.406e-05,9.406e-05,9.406e-05
8,3802.72,0.87007,0.69794,1.28213,0.92028,0.8772,0.93072,0.71602,0.89308,0.55387,1.28537,9.307e-05,9.307e-05,9.307e-05
9,4274.96,0.86004,0.6661,1.26609,0.92442,0.88013,0.93872,0.72036,0.89555,0.53735,1.28279,9.208e-05,9.208e-05,9.208e-05
10,4746.82,0.83825,0.64149,1.25024,0.9192,0.88473,0.93995,0.72396,0.88977,0.52002,1.28674,9.109e-05,9.109e-05,9.109e-05
11,5219.21,0.82196,0.61938,1.24203,0.92649,0.89146,0.94363,0.74161,0.86072,0.50034,1.2381,9.01e-05,9.01e-05,9.01e-05
12,5690.36,0.81467,0.61231,1.22939,0.91844,0.89641,0.94195,0.73802,0.85982,0.5103,1.24976,8.911e-05,8.911e-05,8.911e-05
13,6162.11,0.80047,0.59082,1.22096,0.9318,0.90347,0.94754,0.74539,0.8458,0.48472,1.22128,8.812e-05,8.812e-05,8.812e-05
14,6634.6,0.78612,0.5749,1.21288,0.93222,0.90993,0.95008,0.75869,0.83164,0.46914,1.21221,8.713e-05,8.713e-05,8.713e-05
15,7107.3,0.77754,0.55944,1.20835,0.94543,0.90401,0.95194,0.76184,0.81872,0.45911,1.21411,8.614e-05,8.614e-05,8.614e-05
16,7579.31,0.76775,0.55124,1.20569,0.94903,0.91386,0.95552,0.76842,0.80825,0.44621,1.19772,8.515e-05,8.515e-05,8.515e-05
17,8052.13,0.7611,0.53722,1.193,0.94117,0.92025,0.95461,0.77226,0.7991,0.44422,1.17855,8.416e-05,8.416e-05,8.416e-05
18,8524,0.75191,0.52708,1.18654,0.94752,0.92197,0.95518,0.77777,0.77977,0.4342,1.17229,8.317e-05,8.317e-05,8.317e-05
19,8995.72,0.74006,0.5198,1.17635,0.94087,0.91972,0.95487,0.7776,0.78481,0.44153,1.16868,8.218e-05,8.218e-05,8.218e-05
20,9467.48,0.73455,0.51279,1.16759,0.95557,0.91557,0.95789,0.78491,0.77341,0.42138,1.15081,8.119e-05,8.119e-05,8.119e-05
21,9939.91,0.7178,0.50063,1.16002,0.95052,0.92847,0.95791,0.78833,0.75729,0.41361,1.15107,8.02e-05,8.02e-05,8.02e-05
22,10411.9,0.71156,0.49897,1.16191,0.95313,0.92658,0.95978,0.79575,0.74182,0.41093,1.14529,7.921e-05,7.921e-05,7.921e-05
23,10883.8,0.70083,0.48359,1.15093,0.96325,0.92487,0.95975,0.79139,0.75351,0.40638,1.1488,7.822e-05,7.822e-05,7.822e-05
