epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.306,1.0837,1.44126,1.40542,0.605,0.63453,0.66765,0.44005,1.22732,1.3569,1.56431,0.0667826,3.32506e-05,3.32506e-05
2,469.445,0.99347,1.01124,1.33057,0.80649,0.78521,0.84789,0.59968,1.04114,0.79521,1.3579,0.033482,6.59248e-05,6.59248e-05
3,696.452,0.95265,0.88116,1.3036,0.83752,0.82265,0.88428,0.63989,1.00402,0.73555,1.31017,0.000180652,9.79389e-05,9.79389e-05
4,923.26,0.93013,0.82408,1.28434,0.86445,0.82716,0.89227,0.65257,1.00423,0.70176,1.33029,9.703e-05,9.703e-05,9.703e-05
5,1149.79,0.91462,0.77933,1.27448,0.86498,0.8502,0.90128,0.66565,0.95835,0.62787,1.28278,9.604e-05,9.604e-05,9.604e-05
6,1376.04,0.88403,0.72561,1.25036,0.897,0.85736,0.91952,0.69147,0.94763,0.59286,1.26034,9.505e-05,9.505e-05,9.505e-05
7,1602.41,0.87121,0.70149,1.24662,0.8915,0.85893,0.92055,0.69662,0.93888,0.60012,1.26016,9.406e-05,9.406e-05,9.406e-05
8,1828.46,0.85698,0.67457,1.23445,0.88913,0.8766,0.91501,0.70397,0.91503,0.58725,1.24331,9.307e-05,9.307e-05,9.307e-05
9,2054.82,0.8465,0.65142,1.22373,0.89622,0.88327,0.92874,0.70698,0.91023,0.55347,1.21745,9.208e-05,9.208e-05,9.208e-05
10,2280.99,0.82747,0.62932,1.21501,0.90819,0.89445,0.93747,0.72656,0.88493,0.51755,1.21042,9.109e-05,9.109e-05,9.109e-05
11,2507.31,0.81768,0.60432,1.20747,0.91325,0.89559,0.93959,0.73133,0.88963,0.52147,1.2205,9.01e-05,9.01e-05,9.01e-05
12,2733.58,0.81305,0.59413,1.21267,0.92798,0.89793,0.94634,0.7442,0.86127,0.50015,1.20415,8.911e-05,8.911e-05,8.911e-05
13,2960.09,0.7971,0.58045,1.1913,0.9277,0.90591,0.94697,0.74703,0.8485,0.49295,1.18493,8.812e-05,8.812e-05,8.812e-05
14,3186.49,0.78836,0.57079,1.18279,0.92331,0.90231,0.94591,0.74568,0.85036,0.49445,1.18524,8.713e-05,8.713e-05,8.713e-05
15,3412.88,0.77297,0.55348,1.17126,0.93997,0.91001,0.94665,0.75536,0.83495,0.46996,1.17293,8.614e-05,8.614e-05,8.614e-05
16,3639.25,0.76469,0.54177,1.17296,0.94244,0.91183,0.95045,0.76138,0.82375,0.45722,1.16276,8.515e-05,8.515e-05,8.515e-05
17,3865.59,0.75924,0.53247,1.1641,0.94487,0.91091,0.95327,0.76893,0.8155,0.46009,1.15837,8.416e-05,8.416e-05,8.416e-05
18,4091.75,0.75304,0.52906,1.16396,0.93861,0.91301,0.94863,0.76973,0.80427,0.45522,1.15885,8.317e-05,8.317e-05,8.317e-05
