epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.989,1.10927,2.0002,1.44081,0.33125,0.3486,0.30419,0.17643,1.3149,2.86386,1.67273,0.0667826,3.32506e-05,3.32506e-05
2,280.101,1.04795,1.42143,1.38031,0.7202,0.61579,0.71464,0.48036,1.09379,1.31615,1.40399,0.033482,6.59248e-05,6.59248e-05
3,412.843,0.9982,1.20194,1.33636,0.77908,0.73355,0.80564,0.56038,1.05511,1.01016,1.35334,0.000180652,9.79389e-05,9.79389e-05
4,544.79,0.9711,1.09032,1.31059,0.81702,0.76133,0.83452,0.58932,1.03933,0.90318,1.31277,9.703e-05,9.703e-05,9.703e-05
5,676.543,0.95456,1.02787,1.29823,0.82884,0.78184,0.85646,0.61085,1.03312,0.86567,1.30628,9.604e-05,9.604e-05,9.604e-05
6,808.447,0.9267,0.96758,1.27502,0.83466,0.80121,0.87325,0.62801,1.00526,0.80717,1.28328,9.505e-05,9.505e-05,9.505e-05
7,940.255,0.91835,0.92041,1.27091,0.84763,0.83218,0.88596,0.64803,0.97965,0.76012,1.26913,9.406e-05,9.406e-05,9.406e-05
8,1071.92,0.90172,0.8864,1.25994,0.87037,0.82645,0.8862,0.65411,0.96227,0.74359,1.26147,9.307e-05,9.307e-05,9.307e-05
9,1203.86,0.89373,0.8597,1.25238,0.86027,0.84518,0.89858,0.66501,0.96191,0.69857,1.23818,9.208e-05,9.208e-05,9.208e-05
10,1335.36,0.88073,0.83291,1.24077,0.88193,0.83866,0.90492,0.66762,0.95748,0.68246,1.23173,9.109e-05,9.109e-05,9.109e-05
11,1467.12,0.86834,0.80655,1.23537,0.88754,0.85886,0.91435,0.68724,0.92416,0.63913,1.21502,9.01e-05,9.01e-05,9.01e-05
12,1598.87,0.86614,0.79124,1.23287,0.893,0.8656,0.91837,0.68167,0.95051,0.63666,1.22928,8.911e-05,8.911e-05,8.911e-05
13,1730.67,0.85202,0.76429,1.2181,0.89734,0.85951,0.91409,0.6899,0.92688,0.6441,1.21589,8.812e-05,8.812e-05,8.812e-05
14,1862.33,0.85119,0.75943,1.21573,0.88638,0.87322,0.91799,0.69192,0.9182,0.61692,1.19886,8.713e-05,8.713e-05,8.713e-05
15,1994.14,0.84025,0.73695,1.20607,0.89752,0.87175,0.91201,0.69476,0.90953,0.62839,1.21229,8.614e-05,8.614e-05,8.614e-05
16,2125.91,0.83193,0.72676,1.20311,0.88568,0.87199,0.91775,0.69646,0.91171,0.61498,1.19363,8.515e-05,8.515e-05,8.515e-05
17,2257.65,0.83355,0.71538,1.20011,0.90539,0.87379,0.92462,0.70937,0.88892,0.59283,1.17984,8.416e-05,8.416e-05,8.416e-05
18,2389.41,0.82639,0.70269,1.19629,0.91876,0.88295,0.93395,0.71857,0.89016,0.55631,1.17004,8.317e-05,8.317e-05,8.317e-05
19,2521.24,0.81372,0.68644,1.18899,0.91227,0.87831,0.9283,0.71443,0.88926,0.58397,1.17367,8.218e-05,8.218e-05,8.218e-05
20,2652.85,0.81329,0.68247,1.18775,0.90622,0.88248,0.92624,0.71705,0.87741,0.57242,1.17078,8.119e-05,8.119e-05,8.119e-05
21,2784.44,0.80278,0.66708,1.18375,0.92102,0.88677,0.92926,0.72723,0.86001,0.54373,1.15582,8.02e-05,8.02e-05,8.02e-05
22,2916.22,0.80209,0.66416,1.18151,0.91775,0.89331,0.93307,0.72757,0.86126,0.54488,1.15629,7.921e-05,7.921e-05,7.921e-05
23,3048.11,0.79767,0.6595,1.17955,0.92616,0.88979,0.93447,0.7307,0.8534,0.54003,1.15347,7.822e-05,7.822e-05,7.822e-05
24,3179.45,0.79083,0.64477,1.16948,0.92333,0.89122,0.9301,0.73032,0.8542,0.54266,1.15411,7.723e-05,7.723e-05,7.723e-05
25,3310.95,0.78491,0.63475,1.1675,0.91896,0.90599,0.93699,0.73703,0.84396,0.51942,1.14354,7.624e-05,7.624e-05,7.624e-05
26,3442.47,0.78522,0.63574,1.16892,0.93005,0.88965,0.93857,0.73734,0.84721,0.52555,1.14472,7.525e-05,7.525e-05,7.525e-05
27,3573.87,0.77925,0.62084,1.16473,0.91951,0.90475,0.9394,0.73772,0.84871,0.52106,1.14686,7.426e-05,7.426e-05,7.426e-05
28,3705.38,0.77128,0.62169,1.16064,0.92839,0.89771,0.93745,0.74343,0.82517,0.51007,1.12852,7.327e-05,7.327e-05,7.327e-05
29,3836.95,0.77185,0.61243,1.15855,0.93192,0.89776,0.93707,0.74177,0.82999,0.50724,1.13259,7.228e-05,7.228e-05,7.228e-05
30,3968.36,0.76437,0.60907,1.15567,0.93238,0.9055,0.94147,0.74848,0.82155,0.49442,1.12749,7.129e-05,7.129e-05,7.129e-05
31,4100.14,0.76208,0.59566,1.14875,0.9387,0.9,0.94257,0.74788,0.82395,0.49866,1.125,7.03e-05,7.03e-05,7.03e-05
32,4231.74,0.76235,0.59873,1.15443,0.9362,0.90431,0.94338,0.75153,0.81463,0.48648,1.12041,6.931e-05,6.931e-05,6.931e-05
33,4363.39,0.7587,0.5881,1.14789,0.93262,0.9057,0.94292,0.75085,0.81931,0.48942,1.12502,6.832e-05,6.832e-05,6.832e-05
34,4494.81,0.74745,0.58007,1.14327,0.93536,0.9059,0.94542,0.7559,0.80861,0.48469,1.11301,6.733e-05,6.733e-05,6.733e-05
35,4626.24,0.7586,0.58089,1.15207,0.92884,0.91132,0.94211,0.7542,0.81257,0.48574,1.12286,6.634e-05,6.634e-05,6.634e-05
36,4757.38,0.74832,0.58633,1.13836,0.9331,0.90857,0.9452,0.76033,0.80185,0.47295,1.10964,6.535e-05,6.535e-05,6.535e-05
37,4888.85,0.74041,0.56263,1.13588,0.93925,0.90669,0.9413,0.75853,0.79644,0.4855,1.11313,6.436e-05,6.436e-05,6.436e-05
38,5020.16,0.73847,0.56118,1.13668,0.94102,0.91126,0.94579,0.76254,0.79472,0.46984,1.10633,6.337e-05,6.337e-05,6.337e-05
39,5151.55,0.7374,0.55779,1.13253,0.95177,0.90635,0.94807,0.76703,0.7876,0.46272,1.10017,6.238e-05,6.238e-05,6.238e-05
40,5282.85,0.73259,0.55794,1.13308,0.9474,0.9138,0.94583,0.76889,0.7841,0.46097,1.09571,6.139e-05,6.139e-05,6.139e-05
41,5414.22,0.72655,0.54603,1.12615,0.94386,0.91252,0.94745,0.77083,0.78131,0.45798,1.09182,6.04e-05,6.04e-05,6.04e-05
42,5545.46,0.7256,0.54558,1.12723,0.94628,0.91188,0.94755,0.7713,0.77767,0.45684,1.08908,5.941e-05,5.941e-05,5.941e-05
43,5676.55,0.71816,0.53463,1.1198,0.94067,0.91714,0.94763,0.77252,0.77463,0.45935,1.09087,5.842e-05,5.842e-05,5.842e-05
44,5807.88,0.71784,0.53964,1.11992,0.94437,0.91786,0.94988,0.77505,0.76868,0.4493,1.0861,5.743e-05,5.743e-05,5.743e-05
45,5938.89,0.71706,0.53418,1.12383,0.95043,0.9153,0.95133,0.77697,0.76533,0.44478,1.08107,5.644e-05,5.644e-05,5.644e-05
46,6069.83,0.71462,0.53314,1.11912,0.94857,0.91371,0.94976,0.77363,0.76724,0.4464,1.07991,5.545e-05,5.545e-05,5.545e-05
47,6200.88,0.7132,0.52927,1.11915,0.93772,0.9253,0.94972,0.77605,0.76337,0.44085,1.0794,5.446e-05,5.446e-05,5.446e-05
48,6331.83,0.70903,0.52767,1.11531,0.94704,0.91943,0.95038,0.77821,0.75654,0.43768,1.07297,5.347e-05,5.347e-05,5.347e-05
49,6462.87,0.70451,0.51754,1.11318,0.94071,0.92315,0.94879,0.7786,0.75747,0.4404,1.07543,5.248e-05,5.248e-05,5.248e-05
50,6593.97,0.70547,0.52229,1.11779,0.94503,0.92156,0.94928,0.77906,0.75644,0.43683,1.07597,5.149e-05,5.149e-05,5.149e-05
51,6725.02,0.70722,0.52041,1.11275,0.94113,0.92418,0.94977,0.7797,0.75274,0.43905,1.07443,5.05e-05,5.05e-05,5.05e-05
52,6855.96,0.69275,0.51171,1.10419,0.94812,0.91815,0.94998,0.78161,0.75148,0.43486,1.07209,4.951e-05,4.951e-05,4.951e-05
53,6986.97,0.69742,0.51124,1.10932,0.94627,0.91825,0.95027,0.78274,0.75043,0.43369,1.0714,4.852e-05,4.852e-05,4.852e-05
54,7117.79,0.69074,0.50835,1.10696,0.93966,0.92172,0.94868,0.78364,0.74779,0.43567,1.06981,4.753e-05,4.753e-05,4.753e-05
55,7248.78,0.69975,0.51352,1.11992,0.9395,0.9247,0.94953,0.78526,0.74656,0.43554,1.07016,4.654e-05,4.654e-05,4.654e-05
56,7379.81,0.68564,0.50342,1.10125,0.94527,0.92007,0.94977,0.78592,0.74522,0.43293,1.06758,4.555e-05,4.555e-05,4.555e-05
57,7511.03,0.69285,0.50896,1.10359,0.94085,0.92321,0.95033,0.7861,0.74324,0.43109,1.06619,4.456e-05,4.456e-05,4.456e-05
58,7642.18,0.68636,0.50174,1.09823,0.94391,0.9219,0.95011,0.78626,0.74428,0.43266,1.06781,4.357e-05,4.357e-05,4.357e-05
59,7773.29,0.68408,0.50172,1.0987,0.9496,0.92122,0.95089,0.78802,0.74215,0.42916,1.06531,4.258e-05,4.258e-05,4.258e-05
60,7904.17,0.68097,0.49505,1.09793,0.94526,0.92417,0.95161,0.78902,0.73949,0.42556,1.06199,4.159e-05,4.159e-05,4.159e-05
61,8035.29,0.6751,0.48678,1.09242,0.94971,0.92357,0.95314,0.79024,0.73638,0.42358,1.05937,4.06e-05,4.06e-05,4.06e-05
62,8166.31,0.67624,0.48269,1.09332,0.951,0.91937,0.95269,0.78995,0.73491,0.42352,1.05824,3.961e-05,3.961e-05,3.961e-05
63,8297.27,0.67333,0.48614,1.0938,0.94346,0.92626,0.95308,0.7914,0.7321,0.42116,1.05632,3.862e-05,3.862e-05,3.862e-05
64,8428.35,0.66475,0.48986,1.08928,0.9533,0.91907,0.95296,0.7918,0.72982,0.41979,1.05505,3.763e-05,3.763e-05,3.763e-05
65,8559.43,0.67034,0.48752,1.09229,0.94868,0.92422,0.95301,0.79351,0.72857,0.41843,1.05352,3.664e-05,3.664e-05,3.664e-05
66,8690.44,0.66736,0.47967,1.0893,0.95159,0.92255,0.95332,0.79449,0.72729,0.41854,1.05229,3.565e-05,3.565e-05,3.565e-05
67,8821.53,0.66455,0.47728,1.08633,0.9523,0.92193,0.95347,0.79572,0.72544,0.41717,1.05115,3.466e-05,3.466e-05,3.466e-05
68,8952.3,0.66162,0.47284,1.08627,0.95235,0.92158,0.95314,0.79581,0.72472,0.41802,1.05115,3.367e-05,3.367e-05,3.367e-05
69,9083.18,0.65754,0.47181,1.08522,0.94831,0.92513,0.95305,0.79569,0.72349,0.41668,1.05075,3.268e-05,3.268e-05,3.268e-05
70,9214.11,0.6564,0.46808,1.08231,0.94849,0.92621,0.95292,0.79535,0.72373,0.41708,1.05141,3.169e-05,3.169e-05,3.169e-05
71,9345.06,0.65382,0.46889,1.0808,0.94848,0.92641,0.9531,0.79575,0.72261,0.4169,1.05068,3.07e-05,3.07e-05,3.07e-05
72,9476.1,0.65509,0.46697,1.0824,0.94803,0.92773,0.95344,0.79594,0.72167,0.41553,1.05003,2.971e-05,2.971e-05,2.971e-05
73,9607.15,0.6476,0.46681,1.0772,0.94763,0.93057,0.95353,0.79623,0.72022,0.41433,1.04905,2.872e-05,2.872e-05,2.872e-05
74,9738.15,0.65267,0.47931,1.08366,0.94763,0.92924,0.95323,0.7962,0.71925,0.41354,1.04823,2.773e-05,2.773e-05,2.773e-05
